URL,Image Source,Alt Text,Price
/product/natasha-denona-i-need-rose-cream-lipstick-voluptuous-creamy-lip-color-P481728?skuId=2512515&amp;icid2=products grid:p481728:product,https://www.sephora.com/productimages/sku/s2512515-main-zoom.jpg?imwidth=175,NATASHA DENONA - I Need A Rose Cream Lipstick,27.0
/product/nars-air-matte-liquid-lipstick-P474358?skuId=2490902&amp;icid2=products grid:p474358:product,https://www.sephora.com/productimages/sku/s2490902-main-zoom.jpg?imwidth=175,NARS - Air Matte Liquid Lipstick,28.0
/product/lancome-l-absolu-rouge-intimate-blushing-nudes-lipstick-P510861?skuId=2744548&amp;icid2=products grid:p510861:product,https://www.sephora.com/productimages/sku/s2744548-main-zoom.jpg?imwidth=175,Lancôme - L'Absolu Rouge Intimatte Buildable Soft Matte Lipstick,35.0
/product/tom-ford-soleil-sunlit-rose-lip-balm-P509462?skuId=2503381&amp;icid2=products grid:p509462:product,https://www.sephora.com/productimages/sku/s2503381-main-zoom.jpg?imwidth=175,TOM FORD - Soleil Sunlit Rose Lip Balm,35.0
/product/givenchy-le-rouge-interdit-satin-P512684?skuId=2788438&amp;icid2=products grid:p512684:product,https://www.sephora.com/productimages/sku/s2788438-main-zoom.jpg?imwidth=175,Givenchy - Le Rouge Interdit Satin Hydrating Lipstick,44.0
/product/ami-cole-blush-desert-cream-blush-lip-multistick-P504779?skuId=2660868&amp;icid2=products grid:p504779:product,https://www.sephora.com/productimages/sku/s2660868-main-zoom.jpg?pb=allure-2023-bestofbeauty-badge&amp;imwidth=175,Ami Colé - Desert Date Cream Blush &amp; Lip Multistick,22.0
/product/luxe-lip-color-P400625?skuId=2595718&amp;icid2=products grid:p400625:product,https://www.sephora.com/productimages/sku/s2595718-main-zoom.jpg?imwidth=175,Bobbi Brown - Luxe Lipstick,43.0
/product/superstar-lips-lipstick-P446610?skuId=2369080&amp;icid2=products grid:p446610:product,https://www.sephora.com/productimages/sku/s2369080-main-zoom.jpg?imwidth=175,Charlotte Tilbury - Superstar Lips Lipstick,35.0
/product/bareminerals-mineralist-hydra-smoothing-lipstick-P455324?skuId=2308872&amp;icid2=products grid:p455324:product,https://www.sephora.com/productimages/sku/s2308872-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,bareMinerals - Mineralist Hydra-Smoothing Lipstick,22.0
/product/hourglass-unlocked-satin-creme-lipstick-red-0-P504339?skuId=2637718&amp;icid2=products grid:p504339:product,https://www.sephora.com/productimages/sku/s2637718-main-zoom.jpg?imwidth=175,Hourglass - Unlocked Satin Creme Lipstick- Red 0,38.0
